Date,Type,Réf. transaction,Moyen de paiement,Quantité,Description,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
12 déc. 2024 21:04,Vente,AS22HGQU,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:04,Vente,AS22HMPZ,Espèces,1,Conso offerte (a enregistrer en espèce) Tartine,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:05,Vente,AS22HTUM,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:07,Vente,AS22KDSK,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:16,Vente,AS22ME6K,Espèces,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:18,Vente,AS22MU3D,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:19,Vente,AS22M9S2,Espèces,1,Tartine 6€,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:22,Vente,AS22NZSB,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:27,Vente,TCFEYV9QRC,Visa - Débit,2,Alcool Biere ambre,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:27,Vente,TCFEYV9QRC,Visa - Débit,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:27,Vente,TCFEYV9QRC,Visa - Débit,1,Tartine 6€,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:28,Vente,TFFMEZGK4M,Visa - Crédit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:29,Vente,AS22QMPA,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:34,Vente,AS22RQFQ,Espèces,2,Alcool Bière blonde,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:35,Vente,AS22R3FV,Espèces,2,Alcool Biere ambre,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 21:37,Vente,AS22SG44,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:42,Vente,TCZND7YGRH,Mastercard - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:46,Vente,AS22UN92,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:50,Vente,AS22VGF6,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:51,Vente,TCE3NETPEP,Visa - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 21:52,Vente,TSPSKGCX9C,Visa - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:00,Vente,AS22YRP9,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:00,Vente,AS22YR3K,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:01,Vente,AS22YTKX,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:01,Vente,AS22YYFN,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:02,Vente,AS22Y43C,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:02,Vente,AS22Y77T,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:03,Vente,TDRYYMLFAG,Visa - Débit,2,Alcool Biere ambre,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 22:03,Vente,TDRYYMLFAG,Visa - Débit,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:04,Vente,AS22ZGY2,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:06,Vente,AS22ZVXN,Espèces,1,Conso offerte (a enregistrer en espèce) Biere/vin,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:06,Vente,AS22ZVXN,Espèces,1,Conso offerte (a enregistrer en espèce) Soft,EUR,2.00,0.00,2.00,2.00,0.00,,us@gmail.com
12 déc. 2024 22:10,Vente,TD6NLKXYNU,Mastercard - Débit,2,Alcool Bière blonde,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 22:13,Vente,TEAC93LHC2,Mastercard - Débit,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:13,Vente,TEAC93LHC2,Mastercard - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:18,Vente,AS224L2B,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:19,Vente,AS224PA2,Espèces,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:23,Vente,AS226MLV,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:30,Vente,AS227UNF,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:34,Vente,T4R96SEFU6,Visa - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:39,Vente,AS23AMXY,Espèces,1,Conso offerte (a enregistrer en espèce) Tartine,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
12 déc. 2024 22:40,Vente,AS23ASKX,Espèces,1,Conso offerte (a enregistrer en espèce) Soft,EUR,2.00,0.00,2.00,2.00,0.00,,us@gmail.com
12 déc. 2024 22:41,Vente,AS23A39R,Espèces,1,Conso offerte (a enregistrer en espèce) Biere/vin,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
12 déc. 2024 22:42,Vente,AS23A6AM,Espèces,1,Conso offerte (a enregistrer en espèce) Biere/vin,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
